block,env,agent,rollouts,horizon,noise_std,flip_prob,mode_adv,delayed_penalty,switch_limit,reward_mean,reward_std,switch_mean,switch_std,churn_mean,churn_std,osc_mean,osc_std
Mech_Base,EnvA,Argmax,8,12,0.25,0.03,0.06,25.0,6,36.87973572828608,2.105047214942701,21.343,4.284081115011713,0.3557166666666667,0.0714013519168619,10.107,3.5470482094271003
Mech_Base,EnvA,Commitment,8,12,0.25,0.03,0.06,25.0,6,61.93205572828608,2.796749345137869,1.792,1.2659921010812034,0.029866666666666666,0.021099868351353388,0.071,0.2965788259468298
Mech_Base,EnvA,Softmax(tau=0.5),8,12,0.25,0.03,0.06,25.0,6,35.912415978038425,2.025854087844877,28.083,4.203107302936722,0.46805,0.0700517883822787,13.709,4.101014386709708
Mech_Base,EnvA,LCB(k=1.0),8,12,0.25,0.03,0.06,25.0,6,36.58353572828609,1.9536783512043796,23.548,4.3586346486027026,0.3924666666666667,0.07264391081004505,11.32,3.8101968453086514
Mech_Base,EnvA,"EMA(ΔQ,a=0.2)",8,12,0.25,0.03,0.06,25.0,6,48.213495728286084,12.872547545959016,10.947,9.303665460451596,0.18245,0.1550610910075266,8.187,8.472309661479567
Mech_Base,EnvA,Dwell(k=4),8,12,0.25,0.03,0.06,25.0,6,36.46716970986052,4.513170677727298,30.204,12.538196999568957,0.5034,0.20896994999281596,27.032,12.383496113779822
Mech_Noise0,EnvA,Argmax,8,12,0.0,0.03,0.06,25.0,6,57.13828000000003,10.67799532878714,5.362,2.4813214221458693,0.08936666666666668,0.04135535703576449,1.566,1.2890477105212206
Mech_Noise0,EnvA,Commitment,8,12,0.0,0.03,0.06,25.0,6,62.31468000000003,0.8272298940439854,1.731,1.1351823642040957,0.028849999999999997,0.01891970607006826,0.034,0.18666547618668
Mech_Noise0,EnvA,Softmax(tau=0.5),8,12,0.0,0.03,0.06,25.0,6,35.963720000000016,0.4487428680213261,27.587,4.125340107191163,0.45978333333333343,0.06875566845318606,13.36,4.067972467950097
Mech_Noise0,EnvA,LCB(k=1.0),8,12,0.0,0.03,0.06,25.0,6,46.53112000000004,11.942940523405449,7.34,2.8928186946298586,0.12233333333333332,0.04821364491049764,2.712,1.7501588499333427
Mech_Noise0,EnvA,"EMA(ΔQ,a=0.2)",8,12,0.0,0.03,0.06,25.0,6,57.61808000000003,10.353968104721979,4.47,4.997309276000435,0.0745,0.08328848793334061,2.582,4.5404048277659115
Mech_Noise0,EnvA,Dwell(k=4),8,12,0.0,0.03,0.06,25.0,6,40.09196000000002,9.54082072771521,29.824,18.65907350325841,0.49706666666666666,0.3109845583876401,28.249,18.444809540897946
Mech_Penalty0,EnvA,Argmax,8,12,0.25,0.03,0.06,0.0,6,61.85473572828608,1.9452377227328708,21.343,4.284081115011713,0.3557166666666667,0.0714013519168619,10.107,3.5470482094271003
Mech_Penalty0,EnvA,Commitment,8,12,0.25,0.03,0.06,0.0,6,62.08069572828608,2.13574611411486,1.818,1.314106540581851,0.030299999999999997,0.021901775676364185,0.072,0.2946455497712463
Mech_Penalty0,EnvA,Softmax(tau=0.5),8,12,0.25,0.03,0.06,0.0,6,60.912415978038425,2.025854087844877,28.083,4.203107302936722,0.46805,0.0700517883822787,13.709,4.101014386709708
Mech_Penalty0,EnvA,LCB(k=1.0),8,12,0.25,0.03,0.06,0.0,6,61.58353572828609,1.9536783512043798,23.548,4.3586346486027026,0.3924666666666667,0.07264391081004505,11.32,3.8101968453086514
Mech_Penalty0,EnvA,"EMA(ΔQ,a=0.2)",8,12,0.25,0.03,0.06,0.0,6,62.35957572828609,2.036850383844422,11.311,9.165821239801701,0.18851666666666664,0.15276368733002837,8.481,8.371597159443352
Mech_Penalty0,EnvA,Dwell(k=4),8,12,0.25,0.03,0.06,0.0,6,60.918609709860526,2.1721018263312133,30.248,12.465732870553579,0.5041333333333333,0.20776221450922633,27.074,12.319599181791588
